('38375e5428c052d172da731a4c854ead9ace7bea0036e3c2568a06a8cc68f8f2', (('0', '0.01'), ('1', 'b2add0cbd618593d503e50848e1cfc4bf32b80483f20070805d1dc8bf36010e5')))
('2e7d8069f3a2e907a412854930ac8c2216e38b89ba160ecc3bd55aee82054d4c', (('103', '1e-08'), ('104', '1dea410e76d9971c2c584e2f5a04c7620d960f88f0d60ae8e9a81aa4502fc0cd')))
('445a90a159074c7b9ee68790b97f3955a9174d9c6a0de7ea2b6dd3aab0e2c65d', (('0', '5e-05'), ('4', 'e07c77db717a32250658562fc8ee625f175110a052634e68b6c24f37a825a797')))
('7da7d21da6960a2a7accd9c982704c6f0021e7362d6cfdeeeba7b4c1cc86db06', (('0', '0.01015'), ('1', 'd1e5d922aa7399216a36e922ea5a4af1ea1ae9e7ceec89821350fca6a3ff9d97')))
('209991239be8d878f159e7eab30519d82680d9a309db307bb73c007d5f9d96dc', (('1', '0.001337'), ('0', '488cd3587398e6bfaba1f32648e094ecde3fd6bdff4bf98133c23bce05723ec7')))
('65c6d3c817d491c2db30fe9f380320e00a223c3997bba3c8314e3f8614d84c59', (('0', '0.99905'), ('1', '7f57b400c8d5c7b01d0d89240e5745c932cc1df7a26b8ccc8d2dc433b4f1aca7')))
('8c7644ec634a2be1a18be6b29962bef8e4c54fc1cb4c237c32194860336360f6', (('0', '0.21'), ('1', '4d8abbc7b21a1f29d6ab6d2b6e639d24afd60f03e22394b26da4a415c9ff13e9')))
('8c7644ec634a2be1a18be6b29962bef8e4c54fc1cb4c237c32194860336360f6', (('0', '0.21'), ('1', '4d1618075b054dc1fb95a189ec3924d8a119aaf666d92634299b1da42e9aba0f')))
('8efc19e1e1780b67039e81d5f9d90d7b7d4eaa39f832235bf2ceed13c7c567c2', (('0', '0.5'), ('0', 'd3f8c33c0e5a712d1a447d39c9494dad24511a2aa25e25a836669e07d294bda1')))
('680bf34eec14c2875c11588f279349a28f7637e506439497360126d973bb005c', (('0', '15'), ('1', '1f25ebff3c6f49f881c31ea5104116f19234e86c9fc8c48df4f1ae3f26bd6a95')))
('f9e170f98953e6dfee812400bfd665b7b5e7faef5317a0411046c71d7e90910a', (('1', '0.38718'), ('0', '141f275ff32e69fd855789260b5fac622bbb6ffaba031271e34402a0fc3cf29b')))
('e28ee33a7bbae34948e5ab7ab0299c86f9c7a365861c1960a714ea55ace6283d', (('1', '0.091'), ('18', 'b09934fa00a5e06675d9567df1944dbcf36b7b0a9c7fe8497863f56677bca767')))
('e28ee33a7bbae34948e5ab7ab0299c86f9c7a365861c1960a714ea55ace6283d', (('1', '0.091'), ('23', '594474326bb84861fcd1bb44fa7c8cd02189ef359afe612c6cb8bd2d98046985')))
('e28ee33a7bbae34948e5ab7ab0299c86f9c7a365861c1960a714ea55ace6283d', (('1', '0.091'), ('0', 'd2d9c399f5e241d42be9015a67579aad9bcdc5238c13ad8cc9fc54d962fe39f6')))
('ff09a0a97bf91e1a31b57a0225965412945294dd79be1ab042a4252d31e08457', (('1', '2'), ('1', 'b9481a0f2e77e7b6394753ba7272fadd2f66bea8aaab881726fb8d45e7c3872c')))
('4f0df2e6c54af6dc90fab6b568db42a5885998c676cb5b91d8402014219ed992', (('103', '1e-08'), ('104', 'f24c7ef69eb38aecff62e0e3aa317818a3c42ce48838b3edb106b50a6f9d023e')))
('a21716275b638a514ca4a0c408d886bbcc6defb4f76d847305eb8544d75bd48b', (('0', '0.101694'), ('1', 'c97984f4324476bf3f5968a9002b82c42cb4a3deb1be92e36438b99c91bdce40')))
('8a0ba64824d5149010d0f93707dfbd3c471b8ace223d91165758a132d1a42456', (('0', '0.00255225'), ('1', '23a555a7a7cbb33967ce9ee36cb26946037b6c2fee3c49f2d36cb64d112352a5')))
('8a0ba64824d5149010d0f93707dfbd3c471b8ace223d91165758a132d1a42456', (('0', '0.00255225'), ('2', '251c1377436a6a64b29d2230299d0926aaa37fb62ce0e015347d28500fa409bf')))
('35e6e87e3a6c8a5980bcf4ef88c28b34793560040607620bd431959125cc5714', (('1', '0.01526'), ('1', '9e2375ba773c519a284979dccbe5ba0f2bf86cb5936fcb94180e749241a63e4c')))
('05ce6afc9d02583cfcb2629ef3a36d8524250cb8e71b9d0c43f6ebc30e75ed20', (('0', '0.0098'), ('1', '62a03ee8be1c0f44c0b3b11dae588fcaea4cb7333a4e2dda2670f1a52a655ddb')))
('6b8209b13d96cf1fd031914f2be40cca50c1a1e584af766e1258219249a69ba3', (('0', '0.05'), ('0', 'e527a7888c433bca40d704124e4daf1db5d9d73a3d3a9a655e4e645d3106f2af')))
('429cdf859bdffd3e884930e80554c0a931d233d1dbefb91dcea1ad2e03cc2685', (('1', '0.0007'), ('2', 'f54ce45c64452bfc6e86a7d21811427bbbd59a6b419eff6a8c3a863cf9de792b')))
('a2975691324667c86095abd3c7be13a3307ff1d71f4cea0380312a16e4563570', (('0', '0.001'), ('1', '5fbd28bcebdebda66204b1852a99b8a762744dd19f3f8d353384d322e1663d0e')))
('0827f64ed227cbb25cb1d1c71ffe63714ab50944e9e2c4ef18dad1b1c7f4638c', (('0', '0.05189413'), ('1', '249f4cde17de9eeda1a362bbfad7345cbced7c891362cd3aff3b8446958a992f')))
('a2031ff1e3f13d6850f552d21a418bd16d0790c6f4c98596f2ca3054166ebc8b', (('0', '0.00827'), ('1', '2b9336718ffd3a21f3092f6bd2b7a4d6cf09ce171721d3daa4df0c4382d72cc4')))
('542a7ea1b96953a9ab47a14e1af5a66e5586f7627a6886aec11d03550b69432a', (('0', '0.001'), ('1', '3f86a6f6c6145eb2b7fcaaa56c8d4ba40203d01c97fd694f6fc6db9f1ed04ab6')))
('0cf5a6627e897c29ff10137da9603f56c9212011bcbcf57e8a84de57b4ea1816', (('103', '1e-08'), ('104', '2b3eda4d2fa1561771eb88c7cbd063348d5bb7751d97a4bfe227fee8166a661b')))
('4b04546f74de1455cda7bb26e06ea31a3ae07e87f1bdc3066542e7b0fbc1d19d', (('0', '0.02'), ('1', 'add61131f8af6fb26e774ee3254cc05e512a13f617d37f9f1a43c66c4967cfe5')))
('0081b26044d7282245c574d57a93942df1b59ac3d51194f8bde1869f91acb2b6', (('1', '2'), ('1', '485cfa715f39ae177ef1667e60b437cc06081e0de483d89d6b6208f72f2fce4f')))
('0081b26044d7282245c574d57a93942df1b59ac3d51194f8bde1869f91acb2b6', (('1', '2'), ('1', '38e181390ac114adb26fd239d5a840f9d326fec4dd35c29a0243dcdafbdd5da2')))
('318ac86d9308f52eb45c0374026aed46aa8a814ce0a6da2728cf3c3e708c3cc1', (('0', '2.41191598'), ('1', '74113bdb3bd21742b2dad514d52d7d4afa6240e17cc533cac6328e62d01c8710')))
('318ac86d9308f52eb45c0374026aed46aa8a814ce0a6da2728cf3c3e708c3cc1', (('0', '2.41191598'), ('1', 'b0465e656f8496afac2196a99bbd671e0d44f670ddfdbdfca8ba80ee0ee3a21f')))
('318ac86d9308f52eb45c0374026aed46aa8a814ce0a6da2728cf3c3e708c3cc1', (('0', '2.41191598'), ('0', '9bdcdc9b620ef2f23347a789c762bf2cd73a54020b0036d1f49f5756c2660f2c')))
('318ac86d9308f52eb45c0374026aed46aa8a814ce0a6da2728cf3c3e708c3cc1', (('0', '2.41191598'), ('1', '32a5072391895c3b098dc34cab4880114f0b5c3adf10091023e0707bbc435657')))
('318ac86d9308f52eb45c0374026aed46aa8a814ce0a6da2728cf3c3e708c3cc1', (('0', '2.41191598'), ('1', '832c0d18e5960d19e91b34e719f01051f2dc1e8556fdfca2989513cff64a5a91')))
('52cc355e18d9c96c77e4f5bf2997d598758426922240482cdeefe8d0b252a1fe', (('1', '4'), ('0', '93745a1296ce53e6ceefc6c64dccf1dab8dbdc5a5ef9e036603b0955bdf02927')))
('52cc355e18d9c96c77e4f5bf2997d598758426922240482cdeefe8d0b252a1fe', (('1', '4'), ('1', 'b563b53fc5adc55d5d6165a3ae93718b080fb32e6571edadc959924dfeddd03d')))
('52cc355e18d9c96c77e4f5bf2997d598758426922240482cdeefe8d0b252a1fe', (('1', '4'), ('1', '36e5ef2f8f689d1f4a5a51a3569a29b6d54965d69ccb651cb8580578f28dce42')))
('52cc355e18d9c96c77e4f5bf2997d598758426922240482cdeefe8d0b252a1fe', (('1', '4'), ('1', '6e7cb084da586352ef9e92be0e02e6dffb0ccec1197491da53a5b558a756f065')))
('52cc355e18d9c96c77e4f5bf2997d598758426922240482cdeefe8d0b252a1fe', (('1', '4'), ('1', '724069e3b36bf6349fad3e00f03ad82fa7002ea185941ec6e83563b411b9f684')))
('52cc355e18d9c96c77e4f5bf2997d598758426922240482cdeefe8d0b252a1fe', (('1', '4'), ('1', '55991688012d6b1399d75effc8c998e63f7b7638a5537bd4e641b2deea4481fa')))
('20c6b087c4b0266e123f9a8d4f10f686ebb6f0b05dd0a32c2c5b3381f44c0d16', (('1', '1'), ('0', '96c913f04235ed2b709769aa022f9e76d1432bda7342ec0623f394c650b9b3df')))
('f7e59f8ecf103a1feea43835eed0d61e03de622e1d3f1e2f2825d96d0594c8c8', (('1', '8'), ('0', '9e09723b0bed8f3509686600445af9c58b0386952a8c90030dfd6c5696a72a04')))
('b9c1aaa4137ed8c695803caceb04fabdff6fd2d38027f782347e5371e1eff014', (('0', '3'), ('1', '1bb659f99dafff6e36578484695cba863ace17c88e5e387a6a7b8ec23010f5df')))
('5427aaf2de2f559dd6e632da59e0433e06355eee5f1acd6a28ede374e33edb6e', (('0', '0.38629264'), ('0', 'b9e867bf283a3d9e795283d9bf5c39a7579dfbcc80d17d85d6188d85ce38ecc5')))
('3ce65decf5348620aa022eb719b8f827d742d3576d328ff5884b634b755a167d', (('0', '0.15'), ('1', '5e0be7af531cc8000f0901d704932a42ef144ce0c089034523388bfa84a5e75e')))
('ff63b7adacec8f5be582747d5e977d371bbf9467417c1fd3ae1b2f8640cd408b', (('1', '0.075'), ('1', '4bc6037951c60c54ae53aebc13b33b1026624f94d1731f5bd9ddb57bdf47ce28')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('75', 'c2fd0b42ef0eace721001d165e6313e69703025380649c08481b0d0a06513f0c')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('38', 'a04ddc0d921e4d9578d1df031f3356838aab7d70b9ac72005eae30a6e49e1610')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('99', 'f81a258efa044832d74078970915bce5b814d493c98adb8d640e04cdbc788010')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('35', 'd632c633c648f25674217e5c176db25ce7b632896a4644266f493000124a8a15')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('1', '27fcb12a9b74f2e0b2b93ecb1b836f3339a770a4677bd182263cd1fe2dc0f915')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('40', '80c9422109cf595c6f78370b08a8b531fe4f978636c47d93d926747cc38b7717')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('99', '7d4521c74d6acdf2a7fe7cc384441050d6d0de4c4fe4f15a88b53e5ff0d4c12f')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('189', 'a57f20c025119c7fc546bff3acd96918a9a19316e7f81737bf301d6c00c9123e')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('213', '081d123b479ca1055933474ecaad05dcf248379d0f58cff82f9c46fed6f21043')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('84', '74fca092df3ddafe2f078a789d5eb7cf3a6568bdc90f5096d0abf65e25272450')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('52', '994578d6bbabedb08aff9fa8dad637ceafe62d2b54ae7210c7679b2cd394b851')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('146', '8d6dba698c1069aaa4209128336c6889df4ce76f90a4ced7183084115c9b025c')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('22', '2506ff92445416f4ed7c004f1e24982495f3491b1368278c0f92506a7a9fad66')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('166', '2506ff92445416f4ed7c004f1e24982495f3491b1368278c0f92506a7a9fad66')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('108', '2d94e7ff0819b9a69fca4ee083367c83c114acecdef0b54c5cb78f53a391cb75')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('0', 'b2a15e6a4d12745fd929b4fc66229c2b6d4f898afe3a0bbdb8e2a3752d6e1979')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('197', '7b46626874824f29f5164564dfc7117bb6942f595376fb8c5282ce1758d2547a')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('40', '21c5273b06af6d8cf35ba306f85d5f9fd3a219fedbf060c7b2e3fa2d165cad88')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('47', '28d2895c32b3da22eed275e3a644efcf9f1a1a9521e416de1b979a2a9ad38997')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('28', 'd4c53212ffa582db5fec70d004b150223f12d96777e10c38115650cbd255898a')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('16', '4d51a40224a0d38a8b3caf3eae5e70ecfc342d61b3ce137f0ef48eed7d1d75ac')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('1', 'ca9f8d21aa03fcb539c1eabf83de31585a2b1f3d4f3e9131fc97faba971a66c7')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('55', 'e48e0000d92fd09b233927265de47482b75f737623654ff5fff6278ab278c9d1')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('127', '0cf821a78b4cc2755fbe17620917ee7f3fe54c424a7a88f41edec9125482cee4')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('184', '2622feb49e174dada702d1f70aff6a4605753e06b226b0c075c226217c0ea0e6')))
('e4dbab2d6e97099d7f85539e852499711da916e038e8e758df38c3532f8feea6', (('0', '0.086'), ('1', '75b5282cef4d4f61cbd01aba6c5f290ad009e1183637f91048fe2abe48eee8fe')))
('0b3537c6bf5e76d7e11da9a9ab393453eb4c6a2e7d7fcb07759530de099b333a', (('1', '0.71162'), ('1', 'ccc5012ebe459d96c58eba98b2f1ed43063337a6e9179fd8106c6ef1779b89cd')))
('0cf9a4f2a21490029f02322a344ca1fce611a652c57e8b1d78b4fcfcdd05e7f8', (('0', '0.10660688'), ('18', '9566235ff254555a2a62d3ce8a043e40e0daef8c6897274483c29d4db18c9eb8')))
('c10083c6eed6041b2c50b42b63fc5e53022a6c20ba97952b04da5f7cdfd83083', (('1', '0.5'), ('0', '0a689387da0c3258c7c4e2df2e3d1691f96c5208d16bbac59958fb5c25bd610d')))
('133617a87c912030f5492b5fc0627403b1a0dec3c57bdc2f0f6de7b6b92ca3a5', (('1', '0.008'), ('1', 'be5709f714446b520ec862ecc157acd795a242f7c3777569181930f5bfc9af57')))
('3b7ac599c0787778c0c16aea9dcb934ded2b08d53bf869c9aac34253744ae8ef', (('0', '63.33333'), ('1', '69843f9955454e929432adf6ecca032fa6c0befebd30d994595455964b5ce331')))
('b6287c4a4e8d3c09e2fb2e2ee56ec6edbe711c99403b09a09eed92caab1a7628', (('0', '3'), ('1', '07b409ba99be4ade09c79bca1d976ab6b94922a3c9338957272a2a4e28364c8f')))
('93ee72e2811bc6601b10f01b1bef1ef310652a0c710e325294f7c7cfce6e24d5', (('0', '7.61'), ('1', '78e611a12c67f7fda997c943c65cbb22379e2ed782fa4ae202b9bd2f2cb22912')))
('93ee72e2811bc6601b10f01b1bef1ef310652a0c710e325294f7c7cfce6e24d5', (('0', '7.61'), ('0', '6a9eb709da7d690c1a84cfe84d62b848054efe67b7864e9b38c4da20baa68836')))
('93ee72e2811bc6601b10f01b1bef1ef310652a0c710e325294f7c7cfce6e24d5', (('0', '7.61'), ('0', 'a63c570b18e58c679d3150994eff271e66641c5545e52cd89f73a52b9c7c897d')))
('9bd15699c2eaf0382e11f25f5b5701c128a187ec39cd87bd3df02bd50260e19d', (('0', '0.4995'), ('0', '1eafadaa889bbf51ae585705621150ef5d2ac4107344f18dee365b14e38e4b96')))
('8168333f09d3f374140cbcf54a349cd4056db3bba3aaadde3909256afd430143', (('0', '0.9995'), ('1', '745e4d493f738dd68a085a3089919f4038e98dc41a1705b2bec9ebb53cb573e9')))
('9c0128c9849eac072a01d3cfb762a2d8e7fe04707adaed0d8999f3b3cb301724', (('0', '0.000504'), ('0', '41c25352d37dbafda0b20538268ddd8bab253b16d49d95db41e666355fde4dc5')))
('b31f5d8405b6bfb9efda5f09e770f7b3faee9e9f4b637401623f82f21287bca5', (('1', '0.02'), ('0', '0704b6b8325e2d775afc2a5a1dacb38c829f1ab4be4952757539098e3980f186')))
('03a78631919da79f7264216bbabf8403bc8c61c8a0d26e35fb23f1a4ce10b064', (('1', '0.2'), ('0', '3f6d20ade86bd70fd62e6bc96ea6697591cc6656867c87fc229e0f920fa483e1')))
('6456e8bdc03fb9453fa8c9caaaecab33d3c9d5863861062e8fb2763f90c03801', (('1', '1'), ('1', 'b1640f225dc0fd2eaff5291e703bdad85ba010396768eae75dd678d7f4e825da')))
('4ade103c4889978fc5ffae69c0caa7e0ab25a7a68535545a0c1d97a4cf7bbf41', (('1', '0.03'), ('0', '43ab93bbccbd7c30592e611039d1b2a925a508460fcc0678c5eb8dd00fb660de')))
('4ade103c4889978fc5ffae69c0caa7e0ab25a7a68535545a0c1d97a4cf7bbf41', (('1', '0.03'), ('50', 'aada4ee3f93c5bbbea7e4ad4a412378bac694a8e735ef0091bd2c930cdedc5ec')))
('4ade103c4889978fc5ffae69c0caa7e0ab25a7a68535545a0c1d97a4cf7bbf41', (('1', '0.03'), ('202', 'aada4ee3f93c5bbbea7e4ad4a412378bac694a8e735ef0091bd2c930cdedc5ec')))
('4ade103c4889978fc5ffae69c0caa7e0ab25a7a68535545a0c1d97a4cf7bbf41', (('1', '0.03'), ('268', 'aada4ee3f93c5bbbea7e4ad4a412378bac694a8e735ef0091bd2c930cdedc5ec')))
('4ade103c4889978fc5ffae69c0caa7e0ab25a7a68535545a0c1d97a4cf7bbf41', (('1', '0.03'), ('6', '5b5c075accc4206a5c0f594aee6b2453fd79aabac009dbd8d8d0a0385195c272')))
('4ade103c4889978fc5ffae69c0caa7e0ab25a7a68535545a0c1d97a4cf7bbf41', (('1', '0.03'), ('0', 'b58c9395f836fb2ca58e50b9c55217d5f321459f6f5cb7e8976408e819a3f59e')))
('4ade103c4889978fc5ffae69c0caa7e0ab25a7a68535545a0c1d97a4cf7bbf41', (('1', '0.03'), ('0', '52589cde8915c36ac0bae231f96ac59bdae414adecade551caf5eba752b43b8d')))
('01c8d0572b6e820e9092a2fbcf1e44926a952c4ef35d782d6d064de78379ada3', (('11', '0.00032133'), ('29', '31fadcab20164c7c31c7b9ca578d27a57621d61c597fe4772124ade6a37f1fc0')))
('c5ffdbb9aae866bbc22c2103aea421ef70905c74923f712890f6c00bab46ef40', (('1', '2'), ('0', '5531d452d64b29bf4b81d7644a6aa53d32c0fd10d00ebd1c89c55d4b2d63694c')))
('503b1d2ad9de95b07de0fe96ea4dcc10acf2d2101be52b2760ec1a7ce5cd1b9d', (('0', '5'), ('0', '4cd388939d12c0a188b3a37f32cfd37ec442f7d578c205a5856044e5d10652cd')))
('503b1d2ad9de95b07de0fe96ea4dcc10acf2d2101be52b2760ec1a7ce5cd1b9d', (('0', '5'), ('1', 'b852b9152d67576763dbf4676a68b0de2199981b8f3ae0413d1dab6e2f699705')))
('503b1d2ad9de95b07de0fe96ea4dcc10acf2d2101be52b2760ec1a7ce5cd1b9d', (('0', '5'), ('1', 'aa507c4d6910353ec8d46e66ac82365258114a0e75da1966f50726f46f4866a2')))
('5dcae9757c20733d67f826b1e26176e7148d7ee296aae757a8ac3915f79a504e', (('4', '0.0008382'), ('0', 'f1dfe2c97a6015fcd940abba64b65bc217f1202739d6c543338987e6cb224814')))
('aafd608a2e9919e06e6011ded3baae16090ab6e6db1c1f40af9a470a619a765b', (('0', '1'), ('0', 'eaa0adc0bc998b6501f7f916cac3cb14ebbfccbc57462e11e4090d5dab91f595')))
('324c0baa2b21b8c1a0168bfe2e18a352592692498f0b7b1c314fcfc2c4f83f69', (('1', '0.2'), ('1', 'c9ea76a199cb8ccb3be3a119fd8a8811d3a26ffbfd61afd715ed889ad8693426')))
('c6e81116b0b9ba751d0b50ac7b79c336dd9cbc8a5e9e742f0cb093aa2e44dd9d', (('1', '0.08'), ('0', '4b2bbb41ebe5858b62ec0cef3461eade47514cf4b5e0b38eb24e499354c3e26f')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', 'd3abde47a47aac9bb8a01321b453f65715d0f630a191b321f1e9ebf2a8987112')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', 'ecd959245918e357bc6e8fdc10849821eccab8dbf0071532c4d7a382fc19271e')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', '5ce76ebb6cd34499c34f73dff96a60903a3b39a1c1e42151e74873a6e9a67936')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', '67a737f88bb9a53fde1640c5ce632a43925669f314b80473ec13ef4987fc5748')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', 'ce4121db02401a42c15259a144735853e77b5760e804ec4c352e25380612ad52')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', 'd15dd2baf650480bf076bd0d1373aa375ff798df5cce0af8795ce006ea2e8d5f')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', '48aa51429c10d7f8f93abfdc892bdedfa17540801653889dc2118b6604b3b990')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', '2dee6edf1553a317a2c401c7a50786a01c5c713c78be8bcb93e57bddc54f1c98')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', '00d2a3fd00d32bf7837f0aae1ac34daa1ad74f47e4c2a97860efc8a983de0fa3')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', 'a9acf1defffd09e03b2d6c6a93715122510f92b3fca60f7c5e544b745e29e5ec')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', '88d80b645e62a782757219b8a75819addfece7f69ec38ba81817c9697a9d5ded')))
('efdcc3e1ed730184aa4f4b15148201f86183f3b45789c9b60c291ef0141a4223', (('1', '0.5'), ('1', '569867f21f8b947fc4f93cd9f77931e2e26fb368d7e4a9f7063b6e7eefb52ef1')))
